#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:sequences" spec="beast.base.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="4" id="bPopSizes.t:sequences" lower="0.0" name="popSizes" spec="beast.base.inference.parameter.RealParameter">380.0</parameter>
#            <groupSizes dimension="4" id="bGroupSizes.t:sequences" spec="beast.base.inference.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:sequences" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:sequences" spec="beast.base.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.sequences" spec="beast.base.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:sequences" jeffreys="true" parameter="@bPopSizes.t:sequences" spec="beast.base.inference.distribution.MarkovChainDistribution"/>
#        <prior id="FrequenciesPrior.s:sequences" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:sequences" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <distr id="Dirichlet.0" spec="beast.base.inference.distribution.Dirichlet">
#                <parameter dimension="4" estimate="false" id="RealParameter.13" name="alpha" spec="beast.base.inference.parameter.RealParameter">4.0 4.0 4.0 4.0</parameter>
#            </distr>
#        </prior>
#        <prior id="GammaShapePrior.s:sequences" name="distribution">
#            <parameter id="gammaShape.s:sequences" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="RateACPrior.s:sequences" name="distribution">
#            <parameter id="rateAC.s:sequences" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.base.inference.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateAGPrior.s:sequences" name="distribution">
#            <parameter id="rateAG.s:sequences" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta" spec="beast.base.inference.parameter.RealParameter">20.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateATPrior.s:sequences" name="distribution">
#            <parameter id="rateAT.s:sequences" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.2" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="beta" spec="beast.base.inference.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateCGPrior.s:sequences" name="distribution">
#            <parameter id="rateCG.s:sequences" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.3" name="distr">
#                <parameter estimate="false" id="RealParameter.7" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.8" name="beta" spec="beast.base.inference.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateGTPrior.s:sequences" name="distribution">
#            <parameter id="rateGT.s:sequences" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.5" name="distr">
#                <parameter estimate="false" id="RealParameter.11" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.12" name="beta" spec="beast.base.inference.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@sequences" id="treeLikelihood.sequences" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:sequences">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:sequences" shape="@gammaShape.s:sequences" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sequences" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sequences" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="gtr.s:sequences" rateAC="@rateAC.s:sequences" rateAG="@rateAG.s:sequences" rateAT="@rateAT.s:sequences" rateCG="@rateCG.s:sequences" rateGT="@rateGT.s:sequences" spec="beast.base.evolution.substitutionmodel.GTR">
#                    <parameter estimate="false" id="rateCT.s:sequences" lower="0.0" name="rateCT" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                    <frequencies frequencies="@freqParameter.s:sequences" id="estimatedFreqs.s:sequences" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:sequences" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:sequences" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.69E-8</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	rateAC	rateAG	rateAT	rateCG	rateGT	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	gammaShape
0	-108792.8317867405	-108034.20525451048	-758.6265322300218	-108034.20525451048	3.3511993400350972	14.299250173949366	1.0	1.0	1.0	1.0	1.0	0.25	0.25	0.25	0.25	-719.0578487550947	380.0	380.0	380.0	380.0	31	30	30	30	1.0
8000	-51179.176931782196	-50399.08196742344	-780.0949643587599	-50399.08196742344	3732.7028526562567	8329.695115006065	0.8834887869817576	1.4477895510452876	0.6976361693117532	0.6329459822424601	1.2724443813219395	0.3004602188320848	0.2936812724942288	0.2179817687758803	0.1878767398978062	-741.582793048506	733.79493080006	415.14465863282146	101.34228833605091	133.87034239154542	7	21	40	53	0.8390095082986689
16000	-40405.863744277085	-39383.03476776486	-1022.8289765122269	-39383.03476776486	70118.99881801472	232121.4166113954	0.7422991965398572	3.0824121220759446	0.27887465883038864	0.2133081575832597	0.3918401303353413	0.3255058689049121	0.29084086595448727	0.13534868614613957	0.24830457899446098	-966.5247025553962	2498.3673763622346	494.1983908046132	951.3030482427014	14613.389353218623	37	49	29	6	0.6068849556108598
24000	-34866.36399349641	-33545.95200497691	-1320.4119885194978	-33545.95200497691	107631.84784832985	999764.5227538382	0.23862615140691684	3.0824121220759446	0.03554866811080742	0.09930402059660759	0.2090322605450387	0.3255058689049121	0.29084086595448727	0.13534868614613957	0.24830457899446098	-1259.358840295979	16807.46875012848	2054.752789924512	19905.6093732298	171339.21698941177	18	51	28	24	0.6068849556108598
32000	-32179.315770283687	-30596.633209450512	-1582.6825608331758	-30596.633209450512	148928.64227000205	1997360.1055936033	0.17424093788642933	3.102810553457716	0.07247226231775884	0.0900076910677823	0.08367387881283472	0.2813883264542726	0.34742875546418117	0.1259216828912387	0.24526123519030749	-1524.4304578612446	85686.92298372758	23737.813428326066	119709.31612767451	403250.8203890801	16	34	33	38	0.4729167685374968
40000	-30874.5877761081	-29107.960970183598	-1766.6268059244996	-29107.960970183598	154263.44805720396	2936627.4003139692	0.13972117879333532	2.2995189920124224	0.062390945152723414	0.036407173047196664	0.07703823323963462	0.3027118173177688	0.3108936861860144	0.13835999875679122	0.24803449773942565	-1707.372064316933	418719.85058595514	481597.2876522853	820089.2766187482	484292.5930212955	16	2	2	101	0.44103108770454374
48000	-30312.71362576661	-28514.620474652485	-1798.0931511141248	-28514.620474652485	180522.6943935181	3362590.6558199376	0.13972117879333532	2.0643455848073553	0.062390945152723414	0.036407173047196664	0.07703823323963462	0.3027118173177688	0.3108936861860144	0.13835999875679122	0.24803449773942565	-1737.2587507974984	1267590.457916874	1246967.3851792675	762453.0446585215	341927.55476259126	12	17	36	56	0.44103108770454374
56000	-30191.554156154187	-28389.629559028202	-1801.9245971259845	-28389.629559028202	149988.86363285055	3466351.9000699385	0.047087306485719876	2.0643455848073553	0.03648652843177089	0.0674887544209611	0.01715659844134926	0.3027118173177688	0.3108936861860144	0.13835999875679122	0.24803449773942565	-1743.1456995248338	1420554.937098624	1584690.7926566456	825146.2859155812	367251.00361900876	11	19	38	53	0.1994297032046878
64000	-30159.724848328635	-28365.146289839176	-1794.578558489458	-28365.146289839176	159340.40133232932	3272749.339799585	0.021528109833139516	2.2763304836353764	0.04111314131439459	0.03348743438876879	0.022695941303600448	0.30640663585400985	0.31516857268626775	0.1288605582264189	0.24956423323330354	-1735.3711204935903	4377825.719781143	797055.0302303795	817091.8581220567	454973.3914954732	6	10	52	53	0.20521877375351213
72000	-30126.218583814352	-28327.44102685478	-1798.7775569595738	-28327.44102685478	154402.32347157205	3313327.1360084866	0.021528109833139516	2.2763304836353764	0.04111314131439459	0.03348743438876879	0.022695941303600448	0.30640663585400985	0.31516857268626775	0.1288605582264189	0.24956423323330354	-1737.8810335623746	1144756.709677502	2225059.47668212	3723824.0110754785	294997.71951812855	41	17	2	61	0.10118014440442301
80000	-30128.753952807572	-28342.741040867782	-1786.01291193979	-28342.741040867782	182565.28823341074	3436628.173111051	0.035614708604096226	2.2763304836353764	0.04111314131439459	0.06307681315195986	0.015111223781268668	0.30640663585400985	0.3120836436152432	0.1288605582264189	0.25264916230432805	-1727.0182517140465	1002411.4695311899	1393476.3287246246	119589.92671406457	454570.1436402808	49	6	8	58	0.10118014440442301
88000	-30125.639716424997	-28338.748770227565	-1786.890946197431	-28338.748770227565	145240.97689261482	3257952.850189602	0.035614708604096226	2.2763304836353764	0.04111314131439459	0.06307681315195986	0.03181563986534442	0.3178866679447912	0.3112900000308845	0.1288605582264189	0.24196277379790543	-1729.968919264091	1197410.670532897	314430.98323185166	518415.4607287252	115978.95928180368	49	11	46	15	0.10118014440442301
96000	-30139.171710433915	-28347.898597036976	-1791.2731133969378	-28347.898597036976	143685.2556084438	3400207.054556023	0.04130461861149361	2.2241309179847346	0.03981079933885518	0.059941802924009524	0.03165739080115981	0.3102303278610994	0.31391485326389373	0.12711464606632192	0.24874017280868504	-1735.2851690661362	1173927.409935846	605778.7912169686	223422.5053495663	112685.75883386364	46	47	6	22	0.1
104000	-30134.054224191525	-28333.262861186697	-1800.7913630048272	-28333.262861186697	166987.61509766267	3509325.7690614914	0.023768275687261513	2.3150031698975173	0.04200119156878758	0.05719100223063444	0.033330216966777564	0.3134865753724314	0.3133707024496612	0.12701628506587664	0.24612643711203064	-1742.7177096948876	2029896.142003116	1179333.680172918	457166.8463031707	205650.21654439086	6	56	39	20	0.1
112000	-30136.3177933984	-28336.670755615414	-1799.647037782986	-28336.670755615414	156234.1663416415	3508894.5546744945	0.04175681681550208	2.3735693841338508	0.04409074954147371	0.028606198829980646	0.032316483848892984	0.3138775480819415	0.3145245343815422	0.12895224168468739	0.24264567585182895	-1741.9493687848912	1273715.427191761	999638.2504669589	748283.7401349742	158262.2056156312	7	19	79	16	0.1
120000	-30135.37455920338	-28346.91678272094	-1788.4577764824414	-28346.91678272094	151240.39752302875	3273041.271444213	0.043820931577863764	2.444833092269251	0.042680318898063105	0.07769221039110598	0.011961619160364277	0.3109595010243877	0.31222256567355644	0.12999884768313144	0.2468190856189244	-1728.5002280447175	5935765.188615107	1175730.8815289373	530260.5828924382	226411.73554290304	3	38	63	17	0.10354196266700037
