,title,number_of_ratings,year_of_release,rating,director
100,Punainen kyynel,409772,1958,8.2,Alfred Hitchcock
101,Amélie,767990,2001,8.2,Jean-Pierre Jeunet
102,Nainen ilman omaatuntoa,160404,1944,8.2,Billy Wilder
103,Clockwork Orange - Kellopeliappelsiini,845402,1971,8.2,Stanley Kubrick
104,Full Metal Jacket,756313,1987,8.2,Stanley Kubrick
105,Scarface - arpinaama,862451,1983,8.2,Brian De Palma
106,Hamilton,100546,2020,8.2,Thomas Kail
107,Nawalin salaisuus,182993,2010,8.2,Denis Villeneuve
108,Heat - ajojahti,670877,1995,8.2,Michael Mann
109,Up: kohti korkeuksia,1065459,2009,8.2,Pete Docter
110,Kuin surmaisi satakielen,321458,1962,8.2,Robert Mulligan
111,Puhallus,268865,1973,8.2,George Roy Hill
112,Nader ja Simin: Ero,248891,2011,8.2,Asghar Farhadi
113,Metropolis,177784,1927,8.2,Fritz Lang
114,L.A. Confidential,591696,1997,8.2,Curtis Hanson
115,Vain kuolleen ruumiini yli,899090,1988,8.2,John McTiernan
116,Taksikuski,859562,1976,8.2,Martin Scorsese
117,Indiana Jones ja viimeinen ristiretki,768784,1989,8.2,Steven Spielberg
118,Snatch - Hävyttömät,871442,2000,8.2,Guy Ritchie
119,Polkupyörävaras,167047,1948,8.2,Vittorio De Sica
120,Taare Zameen Par,197411,2007,8.2,Aamir Khan
121,Taistelulähetit - 1917,616790,2019,8.2,Sam Mendes
122,Top Gun: Maverick,577990,2022,8.2,Joseph Kosinski
123,Perikato,361510,2004,8.2,Oliver Hirschbiegel
124,Dangal,196531,2016,8.2,Nitesh Tiwari
125,Vain muutaman dollarin tähden,262035,1965,8.2,Sergio Leone
126,Batman Begins,1498093,2005,8.2,Christopher Nolan
127,Chaplinin poika,128945,1921,8.2,Charles Chaplin
128,Piukat paikat,272418,1959,8.2,Billy Wilder
129,Isä,166157,2020,8.2,Florian Zeller
130,Kaikki Eevasta,133690,1950,8.2,Joseph L. Mankiewicz
131,The Wolf of Wall Street,1455515,2013,8.2,Martin Scorsese
132,Green Book,515607,2018,8.2,Peter Farrelly
133,Nürnbergin tuomio,79647,1961,8.2,Stanley Kramer
134,Ran,128646,1985,8.2,Akira Kurosawa
135,Casino,532623,1995,8.2,Martin Scorsese
136,Truman Show,1112150,1998,8.2,Peter Weir
137,There Will Be Blood,600225,2007,8.2,Paul Thomas Anderson
138,Pan's Labyrinth,679360,2006,8.2,Guillermo del Toro
139,Armoton,419621,1992,8.2,Clint Eastwood
140,Kuudes aisti,1008410,1999,8.2,M. Night Shyamalan
141,Suljettu saari,1354146,2010,8.2,Martin Scorsese
142,Jurassic Park,1010477,1993,8.2,Steven Spielberg
143,Kaunis mieli,947774,2001,8.2,Ron Howard
144,Yojimbo - onnensoturi,125489,1961,8.1,Akira Kurosawa
145,Sierra Madren aarre,127545,1948,8.1,John Huston
146,Monty Pythonin hullu maailma,550406,1975,8.1,Terry Gilliam
147,Menetetty maa,997648,2007,8.1,Ethan Coen
